City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
314,shahpura,27.3833,75.9667,284.98,38,0,2.1,IN
315,mildura,-34.2,142.15,288.75,56,13,3.91,AU
316,vanavara,60.34,102.2797,247.03,100,99,1.66,RU
317,dunedin,-45.8742,170.5036,293.6,82,42,3.13,NZ
318,margate,51.3813,1.3862,281.31,77,97,1.34,GB
319,redcar,54.6166,-1.06,282.5,63,98,4.02,GB
320,tucupita,9.0622,-62.051,298.66,68,22,2.56,VE
321,kattivakkam,13.2167,80.3167,299.2,77,100,5.77,IN
322,vakhrushev,48.9833,142.9667,253.68,90,100,3.08,RU
323,njeru,0.4186,33.1731,292.51,79,53,0.87,UG
324,katsuura,35.1333,140.3,280.18,53,74,6.91,JP
325,kincardine,56.0667,-3.7167,282.9,94,100,5.09,GB
326,mariel,22.9875,-82.7536,300.23,68,6,6.69,CU
327,darovskoy,58.77,47.9564,268.19,96,100,3.62,RU
328,gummidipundi,13.4,80.15,299.15,81,100,3.78,IN
329,fort nelson,58.8053,-122.7002,251.87,83,18,2.25,CA
330,marsh harbour,26.5412,-77.0636,296.74,74,35,0.42,BS
331,korla,41.7597,86.1469,266.43,78,3,1.73,CN
332,mayaky,47.4408,29.5599,271.57,86,78,2.89,UA
333,sand springs,36.1398,-96.1089,273.71,53,0,0.45,US
334,kulu,39.0951,33.0799,269.07,78,25,5.89,TR
335,ust-ilimsk,58.0006,102.6619,256.94,98,100,1.43,RU
336,tilichiki,60.4667,166.1,255.72,98,74,2.79,RU
337,kununurra,-15.7667,128.7333,299.14,94,90,1.54,AU
338,prince rupert,54.3161,-130.3201,277.37,95,100,3.82,CA
339,antalaha,-14.9003,50.2788,297.14,92,100,3.22,MG
340,sibolga,1.7427,98.7792,297.03,78,100,2.29,ID
341,cariacica,-20.2639,-40.42,299.81,83,20,6.69,BR
342,loa janan,-0.583,117.095,296.04,100,100,0.46,ID
343,sinop,41.7711,34.8709,270.8,89,91,2.88,TR
344,gat,31.61,34.7642,284.86,100,91,11.09,IL
345,damghan,36.1683,54.348,277.17,69,4,1.38,IR
346,noumea,-22.2763,166.4572,302.14,99,27,0.54,NC
347,sao joao da barra,-21.6403,-41.0511,300.2,84,96,7.06,BR
348,coquimbo,-29.9533,-71.3436,294.0,68,0,5.14,CL
349,port hardy,50.6996,-127.4199,278.43,90,100,9.55,CA
350,mitu,1.1983,-70.1733,303.94,47,79,1.07,CO
351,tongliao,43.6125,122.2653,259.25,53,0,3.11,CN
352,beloha,-25.1667,45.05,294.38,85,16,6.67,MG
353,port keats,-14.25,129.55,300.15,87,100,3.66,AU
354,shalinskoye,55.7228,93.7594,251.41,100,94,1.76,RU
355,bijie,27.3125,105.2942,280.5,81,100,2.23,CN
356,khudumelapye,-23.8833,24.75,294.73,68,79,2.29,BW
357,lasa,46.6166,10.7002,272.42,93,57,2.93,IT
358,guozhen,34.3659,107.359,275.49,41,100,1.24,CN
359,cap malheureux,-19.9842,57.6142,297.3,82,8,0.89,MU
360,cangzhou,38.3167,116.8667,270.92,26,100,1.95,CN
361,teguldet,57.3064,88.1667,247.32,100,100,1.06,RU
362,seybaplaya,19.65,-90.6667,304.85,65,17,3.86,MX
363,port augusta,-32.5,137.7667,289.61,52,1,6.94,AU
364,aljezur,37.3191,-8.8033,281.33,72,0,2.09,PT
365,pinega,64.7001,43.3936,268.34,92,99,3.69,RU
366,yar-sale,66.8333,70.8333,258.7,97,58,4.06,RU
367,wexford,52.3342,-6.4575,282.11,86,96,5.36,IE
368,puerto carreno,6.189,-67.4859,306.3,29,2,5.27,CO
369,castlerea,53.7667,-8.5,281.46,90,88,5.98,IE
370,vanimo,-2.6741,141.3028,298.97,83,70,1.7,PG
371,taoudenni,22.6783,-3.9836,289.18,16,98,4.76,ML
372,petropavlovsk-kamchatskiy,53.0452,158.6483,253.58,78,0,5.0,RU
373,awbari,26.5921,12.7805,282.09,44,0,3.37,LY
374,saint-pierre,-21.3393,55.4781,296.97,78,20,1.54,RE
375,vila franca do campo,37.7167,-25.4333,286.38,76,99,2.7,PT
376,porbandar,21.6422,69.6093,292.07,35,80,5.66,IN
377,ossora,59.2353,163.0719,262.39,81,100,2.95,RU
378,antofagasta,-23.65,-70.4,294.75,77,45,3.33,CL
